Sample ID,Description
am2001a,Armenia 2001
am2011a,Armenia 2011
ar1970a,Argentina 1970
ar1980a,Argentina 1980
ar1991a,Argentina 1991
ar2001a,Argentina 2001
ar2010a,Argentina 2010
at1971a,Austria 1971
at1981a,Austria 1981
at1991a,Austria 1991
at2001a,Austria 2001
at2011a,Austria 2011
bd1991a,Bangladesh 1991
bd2001a,Bangladesh 2001
bd2011a,Bangladesh 2011
bf1985a,Burkina Faso 1985
bf1996a,Burkina Faso 1996
bf2006a,Burkina Faso 2006
bj1979a,Benin 1979
bj1992a,Benin 1992
bj2002a,Benin 2002
bj2013a,Benin 2013
bo1976a,Bolivia 1976
bo1992a,Bolivia 1992
bo2001a,Bolivia 2001
bo2012a,Bolivia 2012
br1960a,Brazil 1960
br1970a,Brazil 1970
br1980a,Brazil 1980
br1991a,Brazil 1991
br2000a,Brazil 2000
br2010a,Brazil 2010
bw1981a,Botswana 1981
bw1991a,Botswana 1991
bw2001a,Botswana 2001
bw2011a,Botswana 2011
by1999a,Belarus 1999
by2009a,Belarus 2009
ca1852a,Canada 1852
ca1871a,Canada 1871
ca1881a,Canada 1881
ca1891a,Canada 1891
ca1901a,Canada 1901
ca1911a,Canada 1911
ca1971a,Canada 1971
ca1981a,Canada 1981
ca1991a,Canada 1991
ca2001a,Canada 2001
ca2011a,Canada 2011
ch1970a,Switzerland 1970
ch1980a,Switzerland 1980
ch1990a,Switzerland 1990
ch2000a,Switzerland 2000
cl1960a,Chile 1960
cl1970a,Chile 1970
cl1982a,Chile 1982
cl1992a,Chile 1992
cl2002a,Chile 2002
cl2017a,Chile 2017
cm1976a,Cameroon 1976
cm1987a,Cameroon 1987
cm2005a,Cameroon 2005
cn1982a,China 1982
cn1990a,China 1990
cn2000a,China 2000
co1964a,Colombia 1964
co1973a,Colombia 1973
co1985a,Colombia 1985
co1993a,Colombia 1993
co2005a,Colombia 2005
cr1963a,Costa Rica 1963
cr1973a,Costa Rica 1973
cr1984a,Costa Rica 1984
cr2000a,Costa Rica 2000
cr2011a,Costa Rica 2011
cu2002a,Cuba 2002
cu2012a,Cuba 2012
de1819a,Germany [Mecklenburg-Schwerin] 1819
de1970a,Germany 1970
de1971a,Germany 1971
de1981a,Germany 1981
de1987a,Germany 1987
dk1787a,Denmark 1787
dk1801a,Denmark 1801
do1960a,Dominican Rep 1960
do1970a,Dominican Rep 1970
do1981a,Dominican Rep 1981
do2002a,Dominican Rep 2002
do2010a,Dominican Rep 2010
ec1962a,Ecuador 1962
ec1974a,Ecuador 1974
ec1982a,Ecuador 1982
ec1990a,Ecuador 1990
ec2001a,Ecuador 2001
ec2010a,Ecuador 2010
eg1848a,Egypt 1848
eg1868a,Egypt 1868
eg1986a,Egypt 1986
eg1996a,Egypt 1996
