Sample ID,Description
us1850a,1850 1%
us1850c,1850 100% sample (Revised December 2017)
us1860a,1860 1%
us1860b,1860 1% sample with black oversample
us1860c,1860 100% sample (Jan 2019)
us1870a,1870 1%
us1870b,1870 1% sample with black oversample
us1870c,1870 100% sample (Jan 2019)
us1880a,1880 1%
us1880d,1880 10%
us1880e,1880 100% database (January 2010 expanded version)
us1900j,1900 5%
us1900k,1900 1%
us1900l,1900 1% sample with oversamples
us1900m,1900 100% database
us1910h,1910 Puerto Rico
us1910k,1910 1%
us1910l,1910 1.4% sample with oversamples
us1910m,1910 100% database
us1920a,1920 1%
us1920b,1920 Puerto Rico sample
us1920c,1920 100% database
us1930a,1930 1%
us1930b,1930 5%
us1930c,1930 Puerto Rico
us1930d,1930 100% database
us1940a,1940 1%
us1940b,1940 100% database
us1950a,1950 1%
us1960a,1960 1%
us1960b,1960 5%
us1970a,1970 Form 1 State
us1970b,1970 Form 2 State
us1970c,1970 Form 1 Metro
us1970d,1970 Form 2 Metro
us1970e,1970 Form 1 Neighborhood
us1970f,1970 Form 2 Neighborhood
us1970h,1970 Puerto Rico State
us1970i,1970 Puerto Rico Municipio
us1970j,1970 Puerto Rico Neighborhood
us1980a,1980 5%
us1980b,1980 1%
us1980c,1980 Urban/Rural
us1980d,1980 Labor Market Area
us1980e,1980 Detailed metro/non-metro
us1980f,1980 Puerto Rico 5%
us1980g,1980 Puerto Rico 1%
us1990a,1990 5%
us1990b,1990 1%
us1990c,1990 Unweighted 1%
us1990d,1990 Elderly
us1990e,1990 Labor Market Area
us1990f,1990 Puerto Rico 5%
us1990g,1990 Puerto Rico 1%
us2000a,2000 5%
us2000b,2000 1% sample (old version)
us2000c,2000 Unweighted 1%
us2000d,2000 ACS
us2000e,2000 Puerto Rico 5%
us2000f,2000 Puerto Rico 1% sample (old version)
us2000g,2000 1%
us2000h,2000 Puerto Rico 1%
us2001a,2001 ACS
us2002a,2002 ACS
us2003a,2003 ACS
us2004a,2004 ACS
us2005a,2005 ACS
us2005b,2005 PRCS
us2006a,2006 ACS
us2006b,2006 PRCS
us2007a,2007 ACS
us2007b,2007 PRCS
us2007c,"2005-2007, ACS 3-year"
us2007d,"2005-2007, PRCS 3-year"
us2008a,2008 ACS
us2008b,2008 PRCS
us2008c,"2006-2008, ACS 3-year"
us2008d,"2006-2008, PRCS 3-year"
us2009a,2009 ACS
us2009b,2009 PRCS
us2009c,"2007-2009, ACS 3-year"
us2009d,"2007-2009, PRCS 3-year"
us2009e,"2005-2009, ACS 5-year"
us2009f,"2005-2009, PRCS 5-year"
us2010a,2010 ACS
us2010b,2010 PRCS
us2010c,"2008-2010, ACS 3-year"
us2010d,"2008-2010, PRCS 3-year"
us2010e,"2006-2010, ACS 5-year"
us2010f,"2006-2010, PRCS 5-year"
us2010g,2010 10%
us2010h,2010 Puerto Rico 10%
us2011a,2011 ACS
us2011b,2011 PRCS
us2011c,"2009-2011, ACS 3-year"
us2011d,"2009-2011, PRCS 3-year"
us2011e,"2007-2011, ACS 5-year"
us2011f,"2007-2011, PRCS 5-year"
us2012a,2012 ACS
us2012b,2012 PRCS
us2012c,"2010-2012, ACS 3-year"
us2012d,"2010-2012, PRCS 3-year"
us2012e,"2008-2012, ACS 5-year"
us2012f,"2008-2012, PRCS 5-year"
us2013a,2013 ACS
us2013b,2013 PRCS
us2013c,"2011-2013, ACS 3-year"
us2013d,"2011-2013, PRCS 3-year"
us2013e,"2009-2013, ACS 5-year"
us2013f,"2009-2013, PRCS 5-year"
us2014a,2014 ACS
us2014b,2014 PRCS
us2014c,"2010-2014, ACS 5-year"
us2014d,"2010-2014, PRCS 5-year"
us2015a,2015 ACS
us2015b,2015 PRCS
us2015c,"2011-2015, ACS 5-year"
us2015d,"2011-2015, PRCS 5-year"
us2016a,2016 ACS
us2016b,2016 PRCS
us2016c,"2012-2016, ACS 5-year"
us2016d,"2012-2016, PRCS 5-year"
us2017a,2017 ACS
us2017b,2017 PRCS
us2017c,"2013-2017, ACS 5-year"
us2017d,"2013-2017, PRCS 5-year"
us2018a,2018 ACS
us2018b,2018 PRCS
us2018c,"2014-2018, ACS 5-year"
us2018d,"2014-2018, PRCS 5-year"
us2019a,2019 ACS
us2019b,2019 PRCS
us2019c,"2015-2019, ACS 5-year"
us2019d,"2015-2019, PRCS 5-year"
us2020a,2020 ACS
us2020c,"2016-2020, ACS 5-year"
us2020d,"2016-2020, PRCS 5-year"
us2021a,2021 ACS
us2021b,2021 PRCS
us2021c,"2017-2021, ACS 5-year"
us2021d,"2017-2021, PRCS 5-year"
